981320-99999,ITBAYAT
981330-99999,CALAYAN
981340-99999,BASCO RADAR
982220-99999,SINAIT
982230-99999,LAOAG
982320-99999,APARRI
982330-99999,TUGUEGARAO
983240-99999,IBA
983250-99999,DAGUPAN
983270-99999,CLARK AB
983280-99999,BAGUIO
983290-99999,MUNOZ
983300-99999,CABANATUAN
983340-99999,BALER RADAR
983360-99999,CASIGURAN
984250-99999,MANILA
984260-41231,SUBIC BAY WEATHER
984270-99999,TAYABAS
984280-99999,SANGLEY POINT
984290-99999,NINOY AQUINO INTERN
984300-99999,SCIENCE GARDEN
984310-99999,CALAPAN
984320-99999,AMBULONG
984330-99999,TANAY
984340-99999,INFANTA
984350-99999,ALABAT
984400-99999,DAET
984440-99999,LEGASPI
984460-99999,VIRAC
985260-99999,CORON
985310-99999,SAN JOSE
985360-99999,ROMBLON
985380-99999,ROXAS
985430-99999,MASBATE
985460-99999,CATARMAN
985480-99999,CATBALOGAN
985500-99999,TACLOBAN
985530-99999,BORONGAN
985580-99999,GUIUAN
986180-99999,PUERTO PRINCESA
986300-99999,CUYO
986420-99999,DUMAGUETE
986440-99999,TAGBILARAN
986445-99999,MEDILLIN-CEBU
986460-99999,MACTAN
986480-99999,MAASIN
986530-99999,SURIGAO
987410-99999,DIPOLOG
987460-99999,COTOBATO
987470-99999,LUMBIA AIRPORT
987510-99999,MALAYBALAY
987520-99999,BUTUAN
987530-99999,DAVAO AIRPORT
987550-99999,HINATUAN
988360-99999,ZAMBOANGA
